"Proteins","Genes","ProT50_Frontal_Cortex","ProT50_Cerebellum","ProT50_Thalamus","ProT50_Amygdala","ProT50_Striatum","ProT50_Substantia_Nigra","ProT50_Olfactory_Bulb","ProT50_Entorhinal_Cortex","ProT50_Liver","ProT50_Kidney","ProT50_Spleen","ProT50_Lung","ProT50_Heart","ProT50_Gut"
"O08553","Dpysl2",4.42602750104027,4.16757522061575,4.58156112643399,4.40185930808164,4.39056904187758,4.60093716310405,4.2153220660439,4.31753525272495,2.61979086810008,3.09900842657022,2.16918834890467,2.8435375219247,2.66085394767784,2.91268545476384
"O08997","Atox1",2.40411306995184,2.54687950133255,2.68601614438936,2.72453527860372,2.66145486782627,2.57025605549559,2.24009294634468,2.3321167827423,0.0324259965358608,1.07685043066008,1.51334891749315,1.58164762336761,1.97208362381755,0.692399648372234
"O09159","Man2b1",2.46857299072138,1.56908117125783,1.76377450939425,1.75625199465416,1.76550314136138,1.97905944488894,0.809816018280101,1.04779530617704,2.40786836722481,2.04103733458862,2.90623819664639,2.35133991980591,0.515674891289979,1.3078753890258
"O35215","Ddt",3.3925548074788,3.59211313164197,3.53408845035148,3.48690601056017,3.44577822387594,3.44012792440779,2.98149416297194,3.39227338745101,2.33359299990486,1.98459995984926,2.55006036972757,2.96182076594501,3.24594229168254,1.63220838502628
"O35350","Capn1",0.924630960829835,2.98543063129208,0.077243881253969,0.816649383128565,1.10962427957925,0.759653557798306,0.865333101485306,0.964432221063164,1.42294818588771,2.32123148572283,1.52533042350158,2.7353971555099,4.12970270542304,-0.159499404321209
"O35381","Anp32a",2.28379183860275,2.91302306617565,1.65320524931134,2.07046327200184,1.9755264842031,1.62436988086886,3.06390607932737,2.01160040950172,1.61480531626234,1.72624751475438,2.3288452205045,2.18929729833327,1.79645963196723,1.47800048167957
"O55042","Snca",3.80949712110317,3.6708256427871,3.84215900985254,3.66799322015015,4.10198986562719,3.83038422237744,3.33660828713438,3.61687189032315,4.00084662182373,3.74729623471927,3.15368884485734,3.58198098489135,3.47823682209768,3.82202440235674
"O70250","Pgam2",3.20323228745944,3.38870073103084,3.45313120029887,3.28479012174912,3.06524911832538,3.2701342828144,2.96119944041707,3.21477433944396,2.31305816217896,2.07398247040666,2.34692306496668,3.15699074312223,3.21299652488145,1.40051139766612
"O70251","Eef1b",2.54730933532814,2.64649708021241,2.52063022255794,2.58394654140692,2.50047746591052,2.54900779656083,2.54709634401579,2.62322186377558,1.42040763111789,1.57767412236182,0.84642096253008,2.08572367157914,1.77187695158355,-0.0712062498917068
"O70451","Slc16a7",3.94527037164153,3.91892424646831,4.18633755441516,3.78546158828396,4.54945452370884,4.21409127327662,3.64032269153787,2.44887848126632,0.71264379987869,2.83612079495807,4.38799057937577,1.53204067751832,1.28032999118615,4.80427532298008
"O88342","Wdr1",3.16827589595857,3.38816616005211,3.19079254490222,3.36843936182236,3.78113616965253,3.24942169177341,2.54763603094844,3.43112775589276,1.90636582737536,1.97307236232512,2.3108871280122,2.49950704396401,2.41639400119901,1.23522407336606
"O88456","Capns1",2.41330140766406,2.66218152123688,2.49318770603136,2.6412968881317,2.77236144733465,2.66695565467802,2.19897079351927,2.62514066820152,1.2802718265121,1.91033659170182,1.76855934194487,1.95769670892104,2.11717659655479,1.45898731389184
"P00920","Ca2",3.94241202122084,3.85204642038967,4.01084800990468,3.88550481675781,4.09088066954203,4.06164261147334,3.2951215773376,3.94510237152854,4.547567980793,2.70757535467049,3.92595936193143,4.22766195484841,4.2028477124349,4.45435889005689
"P01942","Hba",3.85296712078809,3.92180247666609,3.65825241370393,3.78723327402372,3.68752275389376,3.56467322583559,3.75920130253159,3.69929077287086,4.56574465136033,4.52401623400725,4.42953975406051,4.33894447851569,4.34322807184302,4.68041152056161
"P04919","Slc4a1",4.23729820641532,4.01998053644905,3.85914248070042,4.10854757032138,3.82321587275503,3.71649309094731,4.05539162127954,4.12202469505156,4.61336089861553,4.25577538890005,4.29850866562838,4.47970323032176,4.50858193485884,4.86875700108095
"P05064","Aldoa",2.47883778396399,2.5596357068035,2.56332635618334,2.57158834032575,2.45280601154233,2.32200021383188,2.28126760956447,2.36672294878821,1.06780402674915,0.312213094505054,1.0991723727251,1.44693460917921,1.71921478098892,1.27332564679046
"P05201","Got1",3.12877377117927,3.37694437152715,3.03614860155639,3.02260345865767,3.16703272432588,3.08645034017532,3.10125881654755,2.95153188791002,2.08465497096603,2.13162367879283,2.49567639466063,3.1969023594405,3.10437093785559,0.948677799438412
"P05202","Got2",4.7443895577093,4.9465349776075,4.83687129314862,4.54776785750638,4.88560532262783,4.8615133196342,4.59646630601357,4.74181822636799,2.51789839166538,3.31936521996858,2.53932066389996,3.68465886184216,4.23736121294425,3.08472938156417
"P06745","Gpi",3.09237493233364,3.20604846571868,3.14241424309042,3.18324229708719,3.16003492477945,3.16375148935221,3.10952444934514,3.22225105945451,1.20583971049628,1.91286522081573,2.31878489652172,2.66453798114354,2.88359229662883,0.297665668753195
"P07310","Ckm",4.12691314224875,4.17626287361575,4.27300054506551,4.41936506617301,4.40192995583535,4.61628238936396,4.19657629852371,4.27929587994171,4.8436057112375,4.82820497461636,2.9963837479606,3.48901798750759,3.00126936279771,4.02967750555906
"P07901","Hsp90aa1",1.82618002901613,2.17053198532868,2.11547058766564,2.08825261361618,2.11913853113097,2.16263230259783,1.4463322604818,1.66580490396119,0.845252364986538,0.496159351898873,1.06470529531197,1.17507448741459,1.21896999831138,-0.461017499698702
"P08228","Sod1",3.55533270218973,3.60035673635452,3.60598903128871,3.84183222438775,3.98944215371178,3.55104574004247,3.29381051334822,3.90292272971083,2.26583229678427,1.99253026697195,3.10126244339328,3.28221388237718,3.6682441756607,1.40627082678906
"P08249","Mdh2",4.69985402346772,4.70793688306316,4.73768968906883,4.63839857833492,4.8402726924553,4.65265765406252,4.38981885693017,4.45788910071212,2.05372051307586,2.99377938048748,2.29326266779996,3.71448273886366,4.16467722312098,0.151566718961141
"P09411","Pgk1",3.0105818718447,3.2987044151524,3.25088464862677,3.10215649295134,3.21945138596939,3.26235971898938,3.0987777643235,3.13818336797741,1.80356482404586,1.69431202272516,1.92739902663749,2.60726026952912,2.91117249525295,0.660746882099665
"P10126","Eef1a1",2.6848492213916,2.73024551805036,2.54375736014906,2.24119973214014,2.31489683209765,2.51420460163868,1.92129338354204,1.92952943243013,1.47142064617431,1.57037764813976,1.75328620900301,2.44170408692217,2.13379238852099,0.864694630422459
"P10639","Txn",3.63992028528269,3.63155947410759,3.51802755668651,3.50622764192162,3.53983696302134,3.4787807285765,3.29168450807127,3.59998420231274,2.02059612220586,1.94884515081994,2.71729232589084,2.75960866864677,3.41447278537744,0.440729884665829
"P10649","Gstm1",3.34018844616758,3.21090699418919,3.38048173677071,3.43448106092306,3.4381546548422,3.3384192265391,2.87633902531068,3.5154593038929,2.75722191960039,2.29989267696881,2.72409386513693,2.90309632284866,3.11094474028316,3.23295160936151
"P11352","Gpx1",3.28228257776899,3.6677511746416,3.45788791004923,3.34310452184413,3.66936287784906,3.67237650364264,3.16394160147245,3.44838017152199,2.43889124246662,2.16896538239658,2.92530116768662,3.40086533581526,4.04368875986974,1.25096012023619
"P13634","Ca1",4.68399204873634,4.61813690557035,4.19888950964914,4.55366013304454,4.29587273099204,4.01338459073114,4.37461283321745,4.5723836654002,4.98632900677959,4.94833536390575,4.33575281601147,4.66964468094351,4.83569704700756,5.07147067225347
"P14069","S100a6",2.90054269569381,2.59672898317709,2.4930027077047,2.23541919372669,2.70111850361298,1.64537616167318,2.53674463828489,2.01131852687182,3.01123407950431,2.59158810467577,2.47366492708391,2.85238095762972,1.79023006654415,1.90777883861288
"P14824","Anxa6",2.35313668491713,2.7609948644187,2.76268712413776,2.67135518431406,2.6395990302214,2.63156446334402,2.58472759206369,2.40540940822665,1.54999058893267,2.13752444546011,1.7891980628009,2.34651776750723,2.3541501369413,3.32580973489014
"P15327","Bpgm",3.07319106321004,3.58389989698657,1.16206081476102,3.14905835521816,2.6792674227805,3.71413367631793,3.25756777250214,2.97010157910631,4.8803315116271,4.53676784910036,4.43418152393124,4.40262175754829,4.47728675025464,3.89532597740173
"P15626","Gstm2",3.26166469834976,3.09748188640768,3.08670994042933,2.76923575666221,3.13352846267217,2.46337047951447,2.45758015642936,3.02385620581751,2.10617828947896,2.45211526087882,2.94313507421085,2.74637499262035,3.04212987550991,1.62735030597298
"P15864","H1-2",4.0634862580664,5.21940612391169,4.17931966080142,4.0149664172262,4.20011355498704,4.24196243837833,4.44395545439274,4.1209804276862,3.31451242110185,3.85166986611258,4.24167963615214,4.2150458734859,4.16720127813907,3.2746891033517
"P16015","Ca3",1.97361072953439,4.51180600573334,0.789526584453488,-0.854758530776125,0.501991616801556,1.24508518556629,2.70427070050888,0.27209779687332,1.92990926055047,2.19901980262607,2.7657270491743,2.38192243456197,2.35206681419218,3.05637179985851
"P16045","Lgals1",3.18499948075427,3.5056687100732,3.5138793350446,3.17920687085959,3.0329583934086,3.22063209925353,2.79747043746054,2.87023078708805,2.49500808226692,2.32772278011713,2.36345347296321,2.55534615249001,2.76808251045026,3.44121024486616
"P17182","Eno1",3.32549135494012,3.57438508547568,3.31320434504683,3.19994645454797,3.33531554411892,3.33528899872811,3.11549980804072,3.23290299135765,1.79340493793615,1.4793953251231,2.53151670241567,2.66561876558519,3.41121599556829,0.304503627536984
"P17742","Ppia",2.62849184349119,3.04256453065475,2.83209539998836,2.67129186191449,2.73864361316824,2.73219192925062,2.8232868495349,2.57814194624802,1.03984626181055,1.74779698283824,2.00817364198913,2.37190010545868,2.51014743736894,0.855980861312143
"P17751","Tpi1",3.2401451623571,3.63678306918196,3.29674078020054,3.30742675203158,3.2733098680055,3.23079107049602,3.39922904589343,3.15699466084805,2.03879736847561,1.86364479598768,2.7924897333751,3.19522938274378,3.00810189850284,0.942078672124734
"P20060","Hexb",2.33882187959117,2.09745861770246,2.10949915608108,2.15577934172541,2.44099827715316,2.69464382987806,2.22169255946819,2.41573455627278,1.67854478967619,0.856135812349263,2.61463422399188,1.42572450856114,0.210189059902763,-0.15496551359675
"P20152","Vim",2.59234465610593,3.19014654115101,3.33316695683327,2.9964529552113,3.32212097999535,2.3446397079596,3.42948540516558,2.81571568307887,2.96258503256684,3.19464300772405,3.07864418444747,3.08329995517327,3.00912211023039,3.54814844564466
"P21981","Tgm2",2.08285815903136,1.86274350335276,0.943756061828017,1.63212273423716,1.74856455675185,1.57442751078059,2.20332665707952,1.98090864188947,1.6321709141091,1.829845520968,2.93252081844123,2.93805703209956,2.9826149837045,2.17951308907962
"P23492","Pnp",3.21941810022359,2.73635501877984,2.68877936705049,2.94807257080655,2.69004326636862,2.84409587715639,2.48039010178337,2.77610592412883,2.2440896521369,1.58291653918523,1.93585366365952,2.85894411101022,3.4726887913692,0.318168461851513
"P23927","Cryab",2.40639740523493,2.5892458731335,2.51004708933788,2.38143032608914,2.38480285114205,2.40521187652545,2.49040196769159,2.59553576272856,4.16401068961892,1.43125825732687,4.82890195680109,1.15463569075538,0.991528215645847,3.35467619028789
"P24472","Gsta4",3.16381468704886,3.25731397787104,3.12791147368623,3.13625533166703,3.15744859075118,2.91838892209522,2.76121942010547,2.94524144489793,2.37102133746602,2.5464688431798,2.89963111424578,2.38366267977675,2.4630414058134,0.572478253296684
"P24527","Lta4h",3.4382058940967,3.93673862634217,3.47810181222062,3.52466099902237,3.65031511032875,3.46077117194265,3.65471078487835,3.32976747308564,2.32548569401238,2.66880253116287,2.99749587901405,3.21884855548424,3.12587738765424,1.09618726502467
"P28474","Adh5",3.32698866275087,3.43328853943712,3.24001432827309,3.20692634541306,3.29221708436729,3.43123144789186,3.05449448074527,3.12422765496318,2.38455854868381,1.71996810598197,2.49860025465663,2.92373092979055,2.82293572695252,1.30041419918765
"P28650","Adss1",3.35099337573405,3.48439427072967,3.50758875910541,3.68518210601103,3.8557577224391,3.37407799607421,3.53382286862085,3.50523367883566,1.88375203709087,2.81875846224427,2.58783990058679,2.22350203607562,1.84310213052305,4.64168404453306
"P31786","Dbi",3.71972174094399,3.64861227565402,3.64742877164773,3.78124213452076,3.71396102102182,3.71009844612834,3.33415362391101,3.60695698689087,1.86454354195798,1.48956663885093,2.57123358250519,2.91727667120353,2.9011877865597,0.620802088174825
"P32848","Pvalb",2.72768645499251,3.19130257583915,3.21994606188193,3.28315417338458,2.92383427875914,3.38269304321674,2.85082755871724,2.54888989260133,5.04673951013765,2.07421245571944,4.35671067957741,5.16464490136772,4.40645217065847,4.5815192410076
"P32921","Wars1",2.37546149663135,2.61504002137717,2.55346550098643,2.40946839881518,2.38979798768585,2.56674227620304,2.10802188589885,2.37077972867145,1.51859969665667,1.52158836457583,1.62658947780058,2.56759228775532,2.51032948353385,1.5749863655505
"P34022","Ranbp1",3.00341834139896,3.20824899386373,2.86277323900879,2.91386120741728,3.002824997079,3.02635888857282,2.70700413405454,2.90484881187648,1.75274861390146,1.80367799453056,1.95094043950208,2.85568304780237,3.56276123385945,1.12005756299864
"P35700","Prdx1",3.13106739297137,3.05631878092103,3.14005997316847,3.07074866258655,3.015307627426,3.18088551296447,2.7887778121764,2.99392841158576,1.35368377294887,1.16359256214647,2.43020408848239,2.35451878486375,2.26537386326823,0.383907167164615
"P40124","Cap1",2.9799124859213,2.8436149457867,3.12283855805188,3.05589938940834,2.98386372278682,3.12733515963766,2.97985350412997,2.92166956030031,1.66055955274097,1.68122938952684,2.19359776149087,2.07755600456635,1.37198254178687,1.48411058817576
"P40142","Tkt",3.18546858167934,3.28357111450773,3.11365463642225,3.07761182505765,3.05907031372178,3.22247451539629,3.22507638783618,2.97756062381692,2.42182251438163,1.77858300844859,2.37684738667904,2.71989471982413,2.62099883973491,0.26445613569793
"P42932","Cct8",2.35451257158528,2.39163033761039,2.54242424111096,2.54610203666397,2.6308626196626,2.71125685927728,2.14619782229521,2.23094213522975,0.893817160951149,0.827226917653103,1.39210610691191,1.85442570270913,1.51519217350452,0.587753992096103
"P45376","Akr1b1",3.67920632016252,3.56337326471175,3.50710269935853,3.41608722806359,3.48477427720707,3.39709121032319,3.34076021048947,3.30482789929343,2.55383783921991,2.94022283453467,2.62772482140182,2.99178933435043,3.36633004460407,2.84504877349238
"P46471","Psmc2",2.49707624497562,2.37842901841092,2.43562262306702,2.3049772952364,2.55091381946393,2.17716885477777,2.26926408454179,2.347493319857,1.26804428532427,1.38519371723479,1.92310846006849,2.4089279346927,1.86026995156478,0.726165977690892
"P46638","Rab11b",1.48213029158198,1.86130337000619,1.6184346493447,1.88351086959962,1.28293362888972,1.56964266539278,1.43198907274645,1.41296627128502,0.593215873072947,1.52473417171394,1.05090253974966,1.45825560394259,0.707058081847959,-0.15015741856297
"P47753","Capza1",3.14538278069191,3.22164522130275,3.06383410048453,3.21806002735547,3.24409532511666,2.98238285718514,2.77316094351258,3.340835613993,2.78647004970059,2.48254918249226,2.69474855779098,3.18054765713927,3.28791165201482,2.1691062394328
"P47754","Capza2",2.58277682367255,2.60596453058704,2.74814927260468,2.55445840718968,2.79844256710263,2.7379338048567,2.77662554537187,2.62042137651501,1.09340435452133,1.40253424513823,1.5653841088537,2.07016753553586,2.33601015310036,1.01921263663948
"P47757","Capzb",2.4372631320159,2.23853398193501,1.76583513528817,2.29181907895494,2.42396049826918,1.21410155119107,2.49505086964528,2.58933196078061,1.46149056588761,1.39310145320354,1.17656170849407,1.85357583307239,1.76473523193825,0.576226277570251
"P47791","Gsr",3.80412933507734,4.14114284066952,3.6258938239772,3.69650185947454,3.96990702104136,3.76652829692424,3.86051085452627,3.54088969155507,2.78090706433043,2.49968444465357,3.73470063226719,2.99980914132592,3.17185748665596,1.17388530633203
"P47857","Pfkm",2.97053316955908,3.05466815568523,3.120124350002,2.95085819202573,3.17904112593093,3.05472871673978,2.91367155939078,2.90503394763641,0.661334108079362,1.84808881798265,1.32216127769893,2.48990570243116,1.77638145656605,2.82484456135927
"P49222","Epb42",0.446110259430411,3.69677608082991,2.43695847296031,2.70799442639845,2.84713358365603,4.43342341124985,3.39841386707133,2.86215364893225,4.70054330243226,4.41224268685639,4.22371804895802,4.41550608061237,4.3259324501478,5.09339044018694
"P49722","Psma2",2.48079373400637,2.42098008675606,2.53447264441229,2.25858070871767,2.49035447309249,2.47168190122603,2.51212861619152,2.44775828256197,1.39523216640535,1.29338384825882,1.62070307994893,2.41831178186065,2.00166262412892,4.02430129481234
"P50247","Ahcy",3.70441193472527,3.79027462999539,3.68295974918239,3.50478120055712,3.66016560004028,3.72419845778554,3.51809945573586,3.53358229683874,1.64460634977365,1.66555565333848,3.79635183130546,4.1806362333267,3.72941422284345,1.33315830118931
"P50396","Gdi1",2.51910241549398,2.69123892907882,2.88917897625094,2.59598698198402,2.48694982885804,2.72038949597167,2.42312709810827,2.44961741227731,0.602649335508326,1.04041322727404,1.51859578157764,1.95599374300114,2.57784824236165,1.43068091057366
"P50580","Pa2g4",2.72152472217874,3.05155069776941,2.84375016217429,2.71098244426417,2.70958818561275,2.93448242759337,2.54998374794076,2.61996695230405,2.20413897643682,1.93528655914518,1.95893985163,2.34215532916669,2.06752659580645,1.19683014217208
"P51174","Acadl",3.87262997726992,4.04617559144884,3.96056884729264,3.59746693551057,3.76039542252909,4.01050363539274,3.33403119094038,3.49834494922113,1.83663473043285,2.82371391552371,2.02084058270641,3.68043597762153,3.90158508643391,1.32393432874748
"P51855","Gss",3.37096169343529,3.4027666818638,3.13955446129942,2.29788284406871,3.1851914619214,3.37269062598712,2.14642507764785,2.92226736471124,1.75710658935363,1.37003010494463,2.51002926275802,2.86120090234259,3.26402042661167,0.578557349296392
"P51885","Lum",2.29211137899036,1.52613117500698,1.63444523273582,2.70004945896256,3.2988816419333,1.20623908882921,2.65617691303455,4.35838939513148,4.26267404480229,4.27665353233228,4.34919138985814,4.90794791759266,3.78598717500119,4.47942796870626
"P52480","Pkm",3.2150491716738,3.31204421719314,3.2700205424867,3.3202591498319,3.29468873147798,3.21097389041271,2.9927803868417,3.21716721350956,1.90596247877486,2.26492910454092,2.68099171261002,2.67222835871713,2.43445384121295,1.09909511494079
"P53986","Slc16a1",3.6796407539413,3.66845770338062,3.67239357492144,3.53056243501617,3.59161462648412,3.9751825925087,3.01781057237164,3.30427883376057,1.99952759340131,1.27993844894547,1.7188753597374,3.32172213855947,2.7216574528312,0.647569011075659
